#separator:tab
#html:true
#columns:Front	Back	Tags
<div>The dividing line between plan mode and direct execution.</div>	<ul><li><b>Decisions still to make?</b> → plan mode (large/architectural/multi-approach, unfamiliar codebase).</li><li><b>Known thing to do?</b> → direct execution (single-file fix, mechanical change).</li><li>Hybrid &quot;plan then direct-execute&quot; is valid; a multi-file migration with differing APIs is plan mode despite &quot;mechanical&quot; framing.</li></ul>	CCA::D3
<div>The main conversation fills with grep output and file listings. Fix?</div>	<ul><li>Use the <b>Explore subagent</b> — isolates verbose discovery, returns summaries, preserves main context.</li><li>Same goal as <code>context: fork</code> for skills; different mechanism.</li></ul>	CCA::D3
<div>Claude Code interprets a prose instruction differently each iteration. Best fix, and what NOT to do?</div>	<ul><li>Provide <b>2–3 concrete input/output examples</b> — the model generalises from examples more reliably than prose.</li><li>Other tools: test-driven iteration (machine-checkable spec); interview pattern (ask questions first, for unfamiliar domains).</li><li>🚨 After prose fails 3×, <b>switch modality</b> — don&#x27;t reword the prose.</li></ul>	CCA::D3
<div>When do you give Claude feedback in one message vs sequentially?</div>	<ul><li>Fixes <b>interact</b> → single message (consistent decisions).</li><li>Issues are <b>independent</b> → sequential (fix, verify, move on).</li></ul>	CCA::D3
<div>The CI pipeline prints the banner then hangs. Fix?</div>	<ul><li>Add <b><code>-p</code> (print mode)</b> — runs non-interactively. Without it, the job waits for interactive input.</li><li>🚨 Wrong: increase timeout; redirect /dev/null; detached shell; <code>--output-format text</code>.</li></ul>	CCA::D3
<div>An automated system must post findings as inline PR comments. What flags?</div>	<ul><li><code>--output-format json</code> <b>and</b> <code>--json-schema &lt;schema&gt;</code> — JSON constrained to a parseable shape.</li></ul>	CCA::D3
<div>Why not reuse the code-generating session to review its own code?</div>	<ul><li>It retains the reasoning that produced the code → <b>motivated reasoning</b>, less likely to question itself.</li><li>Use an <b>independent, fresh</b> Claude Code session for review.</li></ul>	CCA::D3
<div>Developers ignore the review bot because it repeats findings on every push. Fix?</div>	<ul><li><b>Incremental review context:</b> pass prior findings into the next run; instruct Claude to report <b>only new or still-unaddressed</b> issues.</li><li>🚨 Wrong: remove the bot.</li></ul>	CCA::D3
<div>CI-generated tests are trivial boilerplate. Fix?</div>	<ul><li>Strengthen <b><code>.claude/CLAUDE.md</code></b> with testing standards, what makes a <i>valuable</i> test, and available fixtures/mocks (CI reads the same hierarchy).</li></ul>	CCA::D3
<div>&quot;Be conservative / only high-confidence findings&quot; produces bad results. Better instruction shape?</div>	<ul><li><b>Categorical criteria:</b> <i>what to flag, what to report, what to skip</i> — no confidence adjectives.</li><li>e.g. &quot;Flag comments only when claimed behaviour contradicts actual code behaviour.&quot;</li></ul>	CCA::D4
<div>One finding category is noisy and devs now distrust ALL categories. Counterintuitive fix?</div>	<ul><li><b>Disable the noisy category entirely</b> while improving its prompt; keep accurate categories active; re-enable later.</li><li>🚨 Wrong: lower its threshold or add more instructions — both keep noise flowing.</li></ul>	CCA::D4
<div>How do you stop severity levels from drifting across runs?</div>	<ul><li>Anchor each level with <b>concrete code examples</b>, not prose.</li><li>🚨 A five-level prose rubric looks thorough but drifts — it lacks code anchors.</li></ul>	CCA::D4
<div>Most effective technique for output <b>consistency</b>, and how many examples?</div>	<ul><li><b>Few-shot examples</b> — not more instructions, thresholds, or temperature changes.</li><li><b>2–4 targeted</b> examples on the ambiguous cases, each showing reasoning. Not 10, not 1.</li></ul>	CCA::D4
<div>Three situations that call for few-shot examples.</div>	<div>1. Detailed instructions still produce inconsistent formatting.</div><div>2. Inconsistent judgement on ambiguous cases.</div><div>3. Extraction produces empty/null fields for info that exists in the document.</div><ul><li>Bonus: varied-structure examples <b>reduce hallucination</b> by teaching the <i>shape</i> of valid extractions.</li></ul>	CCA::D4
<div>What does tool_use with a JSON schema guarantee — and what does it NOT?</div>	<ul><li>Guarantees <b>syntactic validity</b> only.</li><li>Does <b>NOT</b> prevent: semantic errors (line items don&#x27;t sum), field-placement errors, or <b>fabrication</b> of required fields.</li></ul>	CCA::D4
<div>Why is a strict schema with all-required fields dangerous?</div>	<ul><li>It&#x27;s a <b>fabrication factory</b> — <i>required</i> guarantees a value is present, even if invented.</li><li>Fix with the anti-fabrication toolkit: nullable/optional fields, <code>&quot;unclear&quot;</code> enum, <code>&quot;other&quot;</code> + freeform detail.</li><li>🚨 &quot;Do not fabricate&quot; in the prompt can&#x27;t override a required field.</li></ul>	CCA::D4
<div>Extraction over documents of <b>unknown type</b> that must produce structured output. Which <code>tool_choice</code>?</div>	<ul><li><code>&quot;any&quot;</code> — must call some tool, model picks the fitting one.</li><li>🚨 Named tool <code>{type:&quot;tool&quot;,name:&quot;extract_invoice&quot;}</code> routes heterogeneous docs through one ill-fitting tool. <code>&quot;auto&quot;</code> lets the model escape into prose.</li></ul>	CCA::D4
<div>What does validation-retry fix, and what can it never fix?</div>	<ul><li><b>Fixes output errors:</b> format mismatch (date), structural (object vs array), misplaced values.</li><li><b>Cannot fix:</b> information genuinely <b>absent from the source</b> → use a nullable field, not retry.</li><li><i>Retry handles output errors; schema design handles source gaps.</i></li></ul>	CCA::D4
<div>What three things go back to the model on a validation failure?</div>	<div>1. The original document.</div><div>2. The failed extraction output.</div><div>3. The specific validation <b>error message</b>.</div><ul><li>🚨 Raising the retry limit 3→10 produces more fabrications, not accuracy.</li></ul>	CCA::D4
<div>How do you improve a code-review bot&#x27;s accuracy over time?</div>	<ul><li>Add a <b><code>detected_pattern</code></b> field to each finding → analyse dismissal patterns (if pattern X is dismissed 80% of the time, improve its prompt).</li><li>Turns a black-box bot into a measurable system. 🚨 Not &quot;iterate on the prompt&quot; blindly.</li></ul>	CCA::D4
<div>How do you catch arithmetic and internal-consistency errors a schema can&#x27;t?</div>	<ul><li>Extract <code>stated_total</code> <b>and</b> <code>calculated_total</code> (sum line items yourself); flag disagreement.</li><li>Add a <code>conflict_detected</code> boolean for internally inconsistent sources (header date ≠ footer date).</li><li><i>Extract redundantly; let inconsistencies bubble up.</i></li></ul>	CCA::D4
<div>Five facts about the Message Batches API.</div>	<div>1. <b>50% cost saving</b> vs synchronous.</div><div>2. <b>≤24-hour</b> processing window.</div><div>3. <b>No latency SLA.</b></div><div>4. <b>No multi-turn tool calling</b> (single-shot only) — the sleeper trap.</div><div>5. <b><code>custom_id</code></b> correlates request/response.</div>	CCA::D4
<div>Which workflows go synchronous vs batch?</div>	<ul><li><b>Blocking</b> (someone/something waiting: CI pre-merge, IDE suggestions, chat) → <b>synchronous</b>.</li><li><b>Latency-tolerant</b> (overnight tests, weekly audits) → <b>batch</b>.</li><li>Multi-turn agentic loops → synchronous regardless.</li><li>🚨 &quot;Switch everything to batch to save 50%&quot; is never the answer — use a <b>mixed strategy</b>.</li></ul>	CCA::D4
<div>200 of 50,000 batch requests failed. What do you do, and how do you iterate on prompts?</div>	<ul><li>Identify failures by <code>custom_id</code>; resubmit <b>only those</b> (chunk oversized docs). 🚨 Don&#x27;t re-batch all 50,000.</li><li>Refine prompts on a <b>sample synchronously before</b> batching — batch iteration loops are ≤24h each.</li></ul>	CCA::D4
<div>Why can&#x27;t a model reliably review its own output in-session, and what&#x27;s the fix?</div>	<ul><li>It retains the reasoning that produced the output → biased toward prior conclusions.</li><li>Fix: spawn an <b>independent instance</b> (fresh session, no prior context). Same idea as the D3.6 CI rule.</li></ul>	CCA::D4
<div>Why does a single pass fail on a large codebase, and what&#x27;s the architecture?</div>	<ul><li>Single pass → attention dilution, contradictory findings, missed cross-file issues.</li><li>Architecture: <b>per-file local pass</b> + a <b>separate cross-file integration pass</b>.</li><li>🚨 A larger context window does NOT fix attention dilution.</li></ul>	CCA::D4
<div>How do you route findings to human review reliably?</div>	<ul><li>Model self-reports confidence per finding → route <b>low-confidence</b> to humans, auto-apply high-confidence.</li><li><b>Calibrate thresholds on a labelled validation set</b> — never pick 0.9 by intuition.</li></ul>	CCA::D4
<div>What does lossy summarisation compress away first, and the fix?</div>	<ul><li>Numbers, dates, order/case IDs, percentages, customer-stated expectations.</li><li><b>Fix:</b> a persistent <b><code>&lt;case_facts&gt;</code> block</b> injected verbatim into every prompt — summarisation never touches it.</li></ul>	CCA::D5
<div>What is &quot;lost in the middle&quot;, and how do you mitigate it?</div>	<ul><li>Attention is biased to the <b>beginning and end</b>; middle content is retrieved less reliably. Structural, not a model bug.</li><li>Mitigate: put key summaries at the <b>beginning</b>, use explicit section headers, surface the relevant slice of long results at the top.</li></ul>	CCA::D5
<div>A 40-field lookup when 5 fields are needed. Where and why do you trim?</div>	<ul><li>Trim at the <b>integration layer, before</b> the result hits the context window.</li><li>Untrimmed results <b>accumulate across turns</b> (turn 8 still carries turns 1–7&#x27;s noise). Treat tool responses like API contracts, not data dumps.</li></ul>	CCA::D5
<div>Why must every API request include the full conversation history?</div>	<ul><li>Claude API calls are <b>stateless</b>; dropping earlier messages breaks coherence.</li><li>Make it economical with <b>prompt caching</b> on the stable prefix (system prompt + tools + early conversation).</li></ul>	CCA::D5
<div>Downstream agents drown in upstream verbosity. Cheapest fix?</div>	<ul><li>Fix <b>upstream</b>: subagents return <b>structured key facts, citations, relevance/confidence</b> — not prose, reasoning chains, or narrative.</li><li>Reasoning stays inside the subagent; only distilled conclusions cross the boundary.</li></ul>	CCA::D5
<div>The three valid escalation triggers and the two unreliable ones.</div>	<ul><li>✅ Explicit human request · policy gap/exception · no meaningful progress after legitimate attempts.</li><li>🚨 Sentiment/frustration (doesn&#x27;t correlate with complexity) · raw self-reported confidence.</li></ul>	CCA::D5
<div>How do you handle a frustrated customer vs one who explicitly asks for a human?</div>	<ul><li><b>Explicit &quot;I want a human&quot;</b> → escalate immediately, even if trivially resolvable; don&#x27;t investigate first.</li><li><b>Frustrated, simple issue, no human request</b> → acknowledge, offer resolution; escalate only if they <b>reiterate</b>.</li></ul>	CCA::D5
<div>Search returns multiple matches for &quot;John Smith&quot;. Correct move?</div>	<ul><li><b>Ask for an additional identifier</b> (email, phone, order number, postcode).</li><li>🚨 Never resolve with a heuristic (most recent/active, &quot;matches the description&quot;, proximity) — one extra turn beats acting on the wrong account.</li></ul>	CCA::D5
<div>The four fields a structured error must carry for recovery.</div>	<div>1. <b>Failure type</b> (transient/validation/business/permission).</div><div>2. <b>What was attempted</b> (query, params, endpoint).</div><div>3. <b>Partial results</b> gathered before failure.</div><div>4. <b>Potential alternatives</b> (retry, fallback, narrower query).</div>	CCA::D5
<div>Two anti-patterns for reporting a tool failure in a pipeline.</div>	<ul><li><b>Silent suppression</b> — <code>{&quot;results&quot;:[], &quot;status&quot;:&quot;ok&quot;}</code> → orchestrator thinks no data exists, zero recovery path. <b>Worst</b> 5.3 answer.</li><li><b>Workflow termination</b> — killing the whole pipeline on one failure → discards other subagents&#x27; successful partial results.</li><li>Right: preserve successes, annotate the <b>coverage gap</b>.</li></ul>	CCA::D5
<div>Two symptoms that a long exploration session is degrading, and the shared root cause.</div>	<ul><li>Model cites <b>&quot;typical patterns&quot;</b> instead of the specific classes/files it found.</li><li>Context fills with verbose discovery, burying earlier conclusions.</li><li>Root cause: high-signal early findings diluted by high-volume later exploration.</li></ul>	CCA::D5
<div>Four ways to fight context degradation in long sessions.</div>	<ul><li><b>Scratchpad file</b> — write key findings, reference later (survives compaction/crash).</li><li><b>Subagent delegation</b> — coordinator receives distilled results only.</li><li><b>Summary injection</b> — summarise a phase before spawning the next.</li><li><b><code>/compact</code></b> — recovery valve near the limit (trades fidelity).</li><li>🚨 A bigger context window doesn&#x27;t fix attention dilution.</li></ul>	CCA::D5
<div>How does an agent survive a crash mid-task?</div>	<ul><li>Export structured state to a <b>manifest file</b> at checkpoints; on resume, load it into the agent&#x27;s prompts.</li><li>The <b>manifest is the source of truth, not the conversation history</b> — robust to crashes, context exhaustion, interruptions, multi-session jobs.</li></ul>	CCA::D5
<div>&quot;Our extraction is 97% accurate, let&#x27;s automate.&quot; Why is this dangerous?</div>	<ul><li>A 97% <b>aggregate</b> can hide a 40% error rate on a rare-but-high-value document type.</li><li><b>Validate by document type AND field segment</b> before removing humans. A single number is never sufficient evidence.</li></ul>	CCA::D5
<div>After deployment, which extractions should you keep sampling and why?</div>	<ul><li>Continue <b>stratified sampling including high-confidence</b> extractions.</li><li>Novel error patterns emerge over time and slip through silently — by definition they don&#x27;t trip existing review thresholds.</li></ul>	CCA::D5
<div>The full pattern for confidence-based human review routing.</div>	<div>1. <b>Per-field</b> confidence (not per-document — field difficulty varies).</div><div>2. Calibrate thresholds on a <b>labelled validation set</b>.</div><div>3. Route <b>low-confidence fields</b> to humans; auto-process the rest.</div><div>4. Prioritise scarce reviewer time on the <b>highest-uncertainty</b> items.</div>	CCA::D5
<div>The five fields that must travel with every claim, and what synthesis must not do.</div>	<ul><li><b>Claim · source URL · document name · relevant excerpt · publication date.</b></li><li>The synthesis agent <b>preserves and merges</b> these — it must <b>not flatten them into prose</b>, or attribution dies (&quot;studies show X&quot;).</li></ul>	CCA::D5
<div>Two credible sources report different numbers for the same statistic. Right move and wrong moves?</div>	<ul><li>✅ Annotate <b>both values with full attribution</b>; let the consumer decide.</li><li>🚨 Wrong: pick one arbitrarily · <b>average</b> them (fabricates a number neither reported) · silently pick the more recent / &quot;better&quot; source.</li></ul>	CCA::D5
<div>A 28% figure (2022) and 32% (2024) look contradictory. How do you reframe it?</div>	<ul><li>Include <b>publication and data-collection dates</b> in structured output — many &quot;conflicts&quot; are different reporting periods.</li><li>28% (2022) vs 32% (2024) is a <b>trend</b>, not a contradiction.</li></ul>	CCA::D5
<div>Match rendering to content: financial data / news / technical findings.</div>	<ul><li>Financial data → <b>tables</b> (numbers in prose are hard to compare).</li><li>News/narrative → <b>prose</b> (bullets lose causality).</li><li>Technical findings → <b>structured lists</b>.</li><li>🚨 One uniform house format loses information.</li></ul>	CCA::D5
